label,message
social,Miss you! Let's link up on Heritage Day near Nandos. Lerato
ham,Important: Rhodes class cancellations on next Friday. Check emails.
promotional,Don't miss out! MTN has a weekend deal at Cape Town until end of month.
social,"Got plans for this weekend? Join us at Gautrain. Cheers, Lerato"
ham,Rhodes: Fee payment deadline is this weekend. Please pay promptly.
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27631234567.
ham,Campus update from UCT: tutorial changes for next Friday. Stay informed.
social,Hey! Let's catch up on Heritage Day at Menlyn. Been too long! Zinhle
social,Miss you! Let's link up this weekend near Menlyn. Themba
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27765432100.
social,"Got plans for this weekend? Join us at Nandos. Cheers, Zinhle"
ham,Important: UJ class cancellations on end of month. Check emails.
social,"Got plans for this weekend? Join us at Menlyn. Cheers, Zinhle"
promotional,Exclusive offer from Capitec: weekend available now in Sandton!
promotional,Save big at MTN Soweto. back-to-school ends today.
ham,Campus update from UP: res meeting changes for today. Stay informed.
ham,NWU: Fee payment deadline is this weekend. Please pay promptly.
promotional,Shop now at Vodacom Durban for BOGO till tomorrow!
ham,Don't forget your assignment at NWU on 31 May. All the best!
promotional,Shop now at Vodacom Cape Town for limited-time till today!
social,"Yo Tasha, you coming to Menlyn this during lunch?"
social,Hey! Let's catch up this weekend at Gautrain. Been too long! Sipho
spam,Exam stress? Get the answers in advance! Affordable & reliable. DM me on WhatsApp +27765432100.
promotional,This weekend only: BOGO at Woolworths stores near Pretoria.
spam,Guaranteed exam help! Send your module code and we’ll sort you out. Msg +27831234567 now.
promotional,Shop now at Checkers Polokwane for weekend till 31 May!
promotional,Exclusive offer from Capitec: back-to-school available now in Durban!
promotional,Exclusive offer from Pick n Pay: back-to-school available now in Polokwane!
social,Miss you! Let's link up this Saturday near Gold Reef. Tasha
promotional,Don't miss out! Shoprite has a BOGO deal at Pretoria until tomorrow.
ham,Campus update from UCT: assignment changes for tomorrow. Stay informed.
ham,UKZN reminder: Your class is scheduled for today. Check your student portal.
social,"Yo Sipho, you coming to Gautrain this on Heritage Day?"
spam,Exclusive Forex Profits offer for you. Act fast! Call +27791234567 now.
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27631234567.
social,Howzit? Meeting at your place this this weekend? Let me know. Themba
promotional,Don't miss out! Checkers has a limited-time deal at Polokwane until 31 May.
social,"Yo Themba, you coming to UJ Library this during lunch?"
social,"Got plans for after work? Join us at Gautrain. Cheers, Zinhle"
ham,NWU reminder: Your tutorial is scheduled for today. Check your student portal.
social,"Got plans for on Heritage Day? Join us at Menlyn. Cheers, Zinhle"
ham,Campus update from Stellenbosch: assignment changes for today. Stay informed.
social,Hey! Let's catch up this weekend at Gautrain. Been too long! Zinhle
social,Hey! Let's catch up on Heritage Day at Menlyn. Been too long! Themba
social,Hey! Let's catch up on Heritage Day at Gold Reef. Been too long! Lerato
ham,UNISA: Fee payment deadline is today. Please pay promptly.
social,Miss you! Let's link up this Saturday near Nandos. Lerato
ham,Campus update from UCT: tutorial changes for end of month. Stay informed.
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27831234567.
spam,Don't miss out on Forex Profits. Call +27765432100 to secure funds today.
spam,URGENT: Claim your NSFAS Grant now! Reply YES or call +27791234567. RICA rules apply.
promotional,Save big at Capitec Polokwane. 50% off ends today.
social,"Got plans for on Heritage Day? Join us at Gold Reef. Cheers, Themba"
social,Hey! Let's catch up on Heritage Day at Gold Reef. Been too long! Tasha
ham,Important: UJ class cancellations on 31 May. Check emails.
social,Hey! Let's catch up after work at Gold Reef. Been too long! Zinhle
spam,Exam stress? Get the answers in advance! Affordable & reliable. DM me on WhatsApp +27631234567.
ham,Don't forget your tutorial at Wits on this weekend. All the best!
promotional,Don't miss out! Pick n Pay has a 50% off deal at Sandton until end of month.
promotional,Shop now at MTN Soweto for BOGO till today!
spam,Ace your UNISA modules! Assignments and past paper answers available. Msg +27831234567 for pricing.
spam,Exclusive Forex Profits offer for you. Act fast! Call +27791234567 now.
promotional,Exclusive offer from Checkers: back-to-school available now in Sandton!
social,Howzit? Meeting at Nandos this this Saturday? Let me know. Sipho
spam,Exclusive Free Bursary offer for you. Act fast! Call +27600012345 now.
social,"Got plans for on Heritage Day? Join us at Gold Reef. Cheers, Zinhle"
social,Howzit? Meeting at Gold Reef this this weekend? Let me know. Sipho
social,Howzit? Meeting at Gautrain this during lunch? Let me know. Zinhle
social,Hey! Let's catch up on Heritage Day at Gautrain. Been too long! Tasha
social,Howzit? Meeting at Gold Reef this on Heritage Day? Let me know. Lerato
promotional,Save big at Woolworths Polokwane. special ends next Friday.
ham,Important: UJ class cancellations on next Friday. Check emails.
social,Howzit? Meeting at Gold Reef this during lunch? Let me know. Sipho
promotional,Save big at MTN Durban. special ends today.
spam,URGENT: Claim your NSFAS Grant now! Reply YES or call +27631234567. RICA rules apply.
spam,Congrats! You've won a Free Bursary. Contact +27831234567 to claim your prize.
social,"Got plans for after work? Join us at Gautrain. Cheers, Sipho"
promotional,Don't miss out! Woolworths has a 50% off deal at Pretoria until tomorrow.
promotional,Don't miss out! Shoprite has a back-to-school deal at Sandton until tomorrow.
spam,Immediate action required: SARS Refund waiting. Text YES to +27600012345.
promotional,This weekend only: 50% off at Vodacom stores near Pretoria.
promotional,Save big at Capitec Cape Town. back-to-school ends next Friday.
social,Miss you! Let's link up on Heritage Day near Gold Reef. Sipho
promotional,Exclusive offer from Pick n Pay: 50% off available now in Durban!
ham,Campus update from Wits: fee deadline changes for today. Stay informed.
ham,Campus update from Wits: class changes for 31 May. Stay informed.
social,"Yo Zinhle, you coming to your place this this weekend?"
ham,Rhodes: Fee payment deadline is this weekend. Please pay promptly.
social,Howzit? Meeting at Nandos this this weekend? Let me know. Zinhle
ham,NWU reminder: Your res meeting is scheduled for end of month. Check your student portal.
ham,Stellenbosch: Fee payment deadline is today. Please pay promptly.
promotional,Save big at Pick n Pay Cape Town. 50% off ends end of month.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27600012345.
promotional,Don't miss out! Checkers has a special deal at Sandton until today.
promotional,This weekend only: back-to-school at Capitec stores near Polokwane.
promotional,Don't miss out! Pick n Pay has a 50% off deal at Durban until tomorrow.
spam,Don't miss out on Free Bursary. Call +27791234567 to secure funds today.
ham,Campus update from UJ: class changes for today. Stay informed.
promotional,Shop now at Shoprite Polokwane for limited-time till tomorrow!
spam,Immediate action required: Forex Profits waiting. Text YES to +27600012345.
spam,Don't miss out on Forex Profits. Call +27600012345 to secure funds today.
spam,Ace your UNISA modules! Assignments and past paper answers available. Msg +27791234567 for pricing.
social,Hey! Let's catch up on Heritage Day at Gautrain. Been too long! Sipho
ham,Campus update from Wits: fee deadline changes for tomorrow. Stay informed.
promotional,Save big at Vodacom Sandton. special ends this weekend.
promotional,This weekend only: BOGO at Vodacom stores near Soweto.
spam,URGENT: Claim your Forex Profits now! Reply YES or call +27765432100. RICA rules apply.
social,"Got plans for this weekend? Join us at UJ Library. Cheers, Themba"
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27600012345.
spam,Congrats! You've won a Forex Profits. Contact +27600012345 to claim your prize.
promotional,Don't miss out! Shoprite has a weekend deal at Polokwane until this weekend.
promotional,This weekend only: special at Vodacom stores near Polokwane.
ham,Don't forget your assignment at UCT on tomorrow. All the best!
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27600012345.
social,Howzit? Meeting at Gautrain this this weekend? Let me know. Sipho
spam,Congrats! You've won a Forex Profits. Contact +27831234567 to claim your prize.
ham,Important: UCT class cancellations on tomorrow. Check emails.
ham,Important: UKZN class cancellations on end of month. Check emails.
promotional,Don't miss out! Checkers has a BOGO deal at Pretoria until today.
ham,Wits: Fee payment deadline is today. Please pay promptly.
social,"Got plans for after work? Join us at your place. Cheers, Tasha"
social,Miss you! Let's link up this weekend near Nandos. Themba
promotional,Exclusive offer from Shoprite: weekend available now in Durban!
spam,Exam stress? Get the answers in advance! Affordable & reliable. DM me on WhatsApp +27791234567.
ham,Campus update from Wits: res meeting changes for end of month. Stay informed.
social,"Yo Themba, you coming to Gold Reef this this weekend?"
spam,Exclusive SARS Refund offer for you. Act fast! Call +27791234567 now.
promotional,This weekend only: weekend at MTN stores near Cape Town.
promotional,Exclusive offer from Vodacom: weekend available now in Sandton!
social,Hey! Let's catch up this Saturday at Gautrain. Been too long! Tasha
social,"Got plans for after work? Join us at Nandos. Cheers, Themba"
promotional,This weekend only: weekend at MTN stores near Sandton.
promotional,This weekend only: 50% off at Woolworths stores near Sandton.
ham,NWU: Fee payment deadline is this weekend. Please pay promptly.
promotional,This weekend only: 50% off at Shoprite stores near Pretoria.
social,Hey! Let's catch up during lunch at Nandos. Been too long! Tasha
ham,Stellenbosch reminder: Your res meeting is scheduled for next Friday. Check your student portal.
ham,Campus update from UJ: res meeting changes for this weekend. Stay informed.
social,Howzit? Meeting at Gautrain this after work? Let me know. Tasha
promotional,Save big at Checkers Sandton. BOGO ends next Friday.
social,Hey! Let's catch up during lunch at Gautrain. Been too long! Lerato
spam,Exclusive Forex Profits offer for you. Act fast! Call +27600012345 now.
ham,Important: UKZN class cancellations on this weekend. Check emails.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27791234567.
social,"Got plans for this weekend? Join us at your place. Cheers, Themba"
promotional,This weekend only: weekend at Pick n Pay stores near Polokwane.
spam,Ace your UNISA modules! Assignments and past paper answers available. Msg +27791234567 for pricing.
social,Hey! Let's catch up this weekend at UJ Library. Been too long! Lerato
spam,Don't miss out on NSFAS Grant. Call +27831234567 to secure funds today.
spam,Don't miss out on NSFAS Grant. Call +27631234567 to secure funds today.
promotional,Exclusive offer from Capitec: back-to-school available now in Pretoria!
social,"Yo Zinhle, you coming to Menlyn this during lunch?"
spam,Don't miss out on Free Bursary. Call +27791234567 to secure funds today.
ham,Don't forget your res meeting at UNISA on next Friday. All the best!
social,"Yo Themba, you coming to Gold Reef this during lunch?"
promotional,Don't miss out! MTN has a special deal at Durban until 31 May.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27631234567.
promotional,This weekend only: special at Woolworths stores near Cape Town.
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27631234567.
social,Miss you! Let's link up after work near Gold Reef. Sipho
ham,UNISA: Fee payment deadline is this weekend. Please pay promptly.
spam,Guaranteed exam help! Send your module code and we’ll sort you out. Msg +27765432100 now.
promotional,This weekend only: 50% off at Shoprite stores near Pretoria.
spam,Ace your UNISA modules! Assignments and past paper answers available. Msg +27765432100 for pricing.
social,"Got plans for this Saturday? Join us at your place. Cheers, Tasha"
spam,Congrats! You've won a SARS Refund. Contact +27831234567 to claim your prize.
social,Howzit? Meeting at Gold Reef this on Heritage Day? Let me know. Lerato
social,"Yo Lerato, you coming to Nandos this this Saturday?"
promotional,Don't miss out! Capitec has a back-to-school deal at Pretoria until next Friday.
spam,Exam stress? Get the answers in advance! Affordable & reliable. DM me on WhatsApp +27791234567.
ham,Don't forget your fee deadline at Stellenbosch on 31 May. All the best!
ham,Important: Stellenbosch class cancellations on this weekend. Check emails.
social,"Got plans for during lunch? Join us at Gold Reef. Cheers, Zinhle"
social,"Got plans for this weekend? Join us at Menlyn. Cheers, Sipho"
promotional,This weekend only: special at Checkers stores near Pretoria.
promotional,This weekend only: BOGO at Checkers stores near Sandton.
social,Howzit? Meeting at Nandos this this weekend? Let me know. Zinhle
social,Howzit? Meeting at Nandos this this weekend? Let me know. Lerato
promotional,Save big at Capitec Pretoria. special ends tomorrow.
spam,Exclusive NSFAS Grant offer for you. Act fast! Call +27831234567 now.
social,"Yo Tasha, you coming to Gold Reef this on Heritage Day?"
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27831234567.
spam,Congrats! You've won a SARS Refund. Contact +27600012345 to claim your prize.
social,Hey! Let's catch up on Heritage Day at Menlyn. Been too long! Tasha
social,Miss you! Let's link up this weekend near UJ Library. Tasha
spam,Exclusive SARS Refund offer for you. Act fast! Call +27791234567 now.
promotional,Exclusive offer from Pick n Pay: back-to-school available now in Sandton!
spam,Congrats! You've won a SARS Refund. Contact +27765432100 to claim your prize.
spam,Immediate action required: NSFAS Grant waiting. Text YES to +27791234567.
promotional,Don't miss out! Checkers has a 50% off deal at Sandton until next Friday.
promotional,This weekend only: 50% off at Vodacom stores near Polokwane.
promotional,Save big at Shoprite Cape Town. 50% off ends 31 May.
spam,Exam stress? Get the answers in advance! Affordable & reliable. DM me on WhatsApp +27831234567.
ham,UCT reminder: Your fee deadline is scheduled for next Friday. Check your student portal.
ham,Stellenbosch: Fee payment deadline is tomorrow. Please pay promptly.
social,Miss you! Let's link up on Heritage Day near UJ Library. Tasha
promotional,Save big at Woolworths Soweto. limited-time ends tomorrow.
social,Miss you! Let's link up this weekend near Nandos. Zinhle
ham,UKZN: Fee payment deadline is this weekend. Please pay promptly.
promotional,Save big at Checkers Cape Town. special ends tomorrow.
ham,Campus update from Rhodes: fee deadline changes for this weekend. Stay informed.
spam,Immediate action required: Forex Profits waiting. Text YES to +27765432100.
promotional,Exclusive offer from Pick n Pay: limited-time available now in Cape Town!
social,"Yo Zinhle, you coming to UJ Library this on Heritage Day?"
ham,Campus update from Rhodes: fee deadline changes for 31 May. Stay informed.
social,"Got plans for after work? Join us at Nandos. Cheers, Zinhle"
promotional,This weekend only: 50% off at MTN stores near Durban.
social,"Yo Themba, you coming to Nandos this this Saturday?"
ham,Campus update from UJ: tutorial changes for today. Stay informed.
social,"Got plans for during lunch? Join us at Menlyn. Cheers, Lerato"
spam,Guaranteed exam help! Send your module code and we’ll sort you out. Msg +27765432100 now.
promotional,Save big at Pick n Pay Durban. 50% off ends 31 May.
ham,NWU: Fee payment deadline is end of month. Please pay promptly.
social,Hey! Let's catch up this weekend at Gold Reef. Been too long! Zinhle
social,Howzit? Meeting at Menlyn this this Saturday? Let me know. Zinhle
promotional,This weekend only: 50% off at Pick n Pay stores near Cape Town.
social,"Got plans for during lunch? Join us at Gautrain. Cheers, Zinhle"
promotional,Don't miss out! Capitec has a weekend deal at Durban until today.
promotional,Don't miss out! Pick n Pay has a special deal at Polokwane until 31 May.
ham,UJ: Fee payment deadline is 31 May. Please pay promptly.
promotional,Don't miss out! Vodacom has a BOGO deal at Cape Town until today.
promotional,Exclusive offer from Woolworths: BOGO available now in Soweto!
spam,Congrats! You've won a Free Bursary. Contact +27831234567 to claim your prize.
social,Hey! Let's catch up during lunch at Menlyn. Been too long! Themba
promotional,Don't miss out! Capitec has a special deal at Durban until tomorrow.
ham,UJ reminder: Your tutorial is scheduled for this weekend. Check your student portal.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27791234567.
promotional,Don't miss out! Capitec has a BOGO deal at Durban until this weekend.
social,"Got plans for after work? Join us at Menlyn. Cheers, Sipho"
spam,Congrats! You've won a SARS Refund. Contact +27631234567 to claim your prize.
social,"Yo Lerato, you coming to Gautrain this this Saturday?"
social,Miss you! Let's link up on Heritage Day near Gautrain. Sipho
social,"Got plans for on Heritage Day? Join us at Gautrain. Cheers, Themba"
promotional,Exclusive offer from MTN: back-to-school available now in Pretoria!
ham,Important: UP class cancellations on this weekend. Check emails.
promotional,Save big at Vodacom Soweto. weekend ends this weekend.
social,Howzit? Meeting at Gautrain this this weekend? Let me know. Lerato
promotional,Exclusive offer from Woolworths: limited-time available now in Pretoria!
social,"Yo Themba, you coming to Nandos this on Heritage Day?"
promotional,Exclusive offer from Vodacom: 50% off available now in Pretoria!
social,Hey! Let's catch up this weekend at Nandos. Been too long! Zinhle
promotional,Exclusive offer from MTN: special available now in Pretoria!
spam,Don't miss out on NSFAS Grant. Call +27831234567 to secure funds today.
social,Miss you! Let's link up after work near UJ Library. Sipho
social,Howzit? Meeting at Nandos this during lunch? Let me know. Themba
ham,Stellenbosch reminder: Your res meeting is scheduled for end of month. Check your student portal.
promotional,Save big at Vodacom Sandton. special ends next Friday.
social,Miss you! Let's link up on Heritage Day near Gold Reef. Sipho
ham,Important: UJ class cancellations on next Friday. Check emails.
promotional,Don't miss out! MTN has a BOGO deal at Durban until this weekend.
social,Miss you! Let's link up on Heritage Day near UJ Library. Themba
promotional,Exclusive offer from MTN: special available now in Sandton!
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27791234567.
social,Miss you! Let's link up on Heritage Day near Gold Reef. Themba
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27600012345.
ham,Campus update from NWU: exam changes for this weekend. Stay informed.
spam,Guaranteed exam help! Send your module code and we’ll sort you out. Msg +27600012345 now.
spam,Guaranteed exam help! Send your module code and we’ll sort you out. Msg +27631234567 now.
promotional,Shop now at MTN Durban for weekend till this weekend!
social,"Yo Zinhle, you coming to your place this during lunch?"
spam,URGENT: Claim your Free Bursary now! Reply YES or call +27631234567. RICA rules apply.
social,"Got plans for this weekend? Join us at Gold Reef. Cheers, Lerato"
promotional,Don't miss out! Checkers has a BOGO deal at Soweto until end of month.
social,"Got plans for this Saturday? Join us at Gold Reef. Cheers, Lerato"
spam,Guaranteed exam help! Send your module code and we’ll sort you out. Msg +27831234567 now.
promotional,This weekend only: limited-time at Checkers stores near Soweto.
promotional,Shop now at Vodacom Sandton for 50% off till this weekend!
social,Howzit? Meeting at Gold Reef this this Saturday? Let me know. Themba
social,"Got plans for this Saturday? Join us at Gold Reef. Cheers, Sipho"
ham,Stellenbosch reminder: Your assignment is scheduled for end of month. Check your student portal.
social,"Got plans for during lunch? Join us at your place. Cheers, Tasha"
spam,Don't miss out on Forex Profits. Call +27631234567 to secure funds today.
ham,Important: UKZN class cancellations on this weekend. Check emails.
spam,Exam stress? Get the answers in advance! Affordable & reliable. DM me on WhatsApp +27765432100.
spam,Ace your UNISA modules! Assignments and past paper answers available. Msg +27765432100 for pricing.
ham,UNISA: Fee payment deadline is today. Please pay promptly.
ham,UCT reminder: Your res meeting is scheduled for next Friday. Check your student portal.
ham,UP reminder: Your class is scheduled for today. Check your student portal.
promotional,Don't miss out! Checkers has a special deal at Polokwane until this weekend.
spam,Assignment due? Let me handle it for you. Rates from R50. WhatsApp +27831234567.
ham,Important: UNISA class cancellations on 31 May. Check emails.
ham,NWU: Fee payment deadline is tomorrow. Please pay promptly.
ham,Campus update from UP: fee deadline changes for today. Stay informed.
social,"Got plans for on Heritage Day? Join us at Gautrain. Cheers, Zinhle"
ham,Don't forget your fee deadline at UKZN on end of month. All the best!
ham,UP: Fee payment deadline is next Friday. Please pay promptly.
ham,Campus update from NWU: exam changes for tomorrow. Stay informed.
promotional,Don't miss out! Capitec has a limited-time deal at Polokwane until this weekend.
promotional,Shop now at Shoprite Pretoria for back-to-school till 31 May!
promotional,Save big at Vodacom Sandton. 50% off ends next Friday.
social,"Got plans for this Saturday? Join us at Gold Reef. Cheers, Lerato"
promotional,Shop now at MTN Soweto for special till next Friday!
ham,Important: UKZN class cancellations on today. Check emails.
promotional,Exclusive offer from Shoprite: limited-time available now in Soweto!
social,"Got plans for on Heritage Day? Join us at Gold Reef. Cheers, Themba"
ham,Don't forget your res meeting at Stellenbosch on tomorrow. All the best!
ham,Don't forget your class at UCT on today. All the best!
promotional,Exclusive offer from Shoprite: 50% off available now in Soweto!
social,"Yo Tasha, you coming to your place this this Saturday?"
social,Miss you! Let's link up during lunch near Nandos. Themba
social,Howzit? Meeting at Menlyn this after work? Let me know. Lerato
social,Hey! Let's catch up after work at Menlyn. Been too long! Themba
ham,Campus update from Wits: assignment changes for 31 May. Stay informed.
promotional,Exclusive offer from Pick n Pay: weekend available now in Sandton!
social,"Got plans for on Heritage Day? Join us at your place. Cheers, Themba"
social,Hey! Let's catch up after work at Gautrain. Been too long! Sipho
promotional,This weekend only: back-to-school at Shoprite stores near Durban.
promotional,Save big at Woolworths Durban. special ends tomorrow.
promotional,This weekend only: weekend at MTN stores near Sandton.
promotional,Save big at Capitec Cape Town. BOGO ends next Friday.
promotional,This weekend only: back-to-school at MTN stores near Pretoria.
social,Miss you! Let's link up during lunch near Gautrain. Sipho
social,Howzit? Meeting at Gautrain this this weekend? Let me know. Sipho
ham,UNISA reminder: Your res meeting is scheduled for tomorrow. Check your student portal.
promotional,Exclusive offer from Capitec: BOGO available now in Durban!
promotional,Shop now at Vodacom Cape Town for BOGO till tomorrow!
ham,Don't forget your fee deadline at UKZN on next Friday. All the best!
social,"Got plans for after work? Join us at Menlyn. Cheers, Themba"
promotional,Save big at Woolworths Pretoria. back-to-school ends end of month.
social,"Got plans for after work? Join us at UJ Library. Cheers, Zinhle"
promotional,Shop now at Capitec Pretoria for BOGO till next Friday!
promotional,Save big at Shoprite Polokwane. weekend ends this weekend.
social,"Got plans for after work? Join us at UJ Library. Cheers, Lerato"
promotional,This weekend only: 50% off at Vodacom stores near Sandton.
ham,Campus update from Stellenbosch: assignment changes for today. Stay informed.
social,"Got plans for on Heritage Day? Join us at Menlyn. Cheers, Lerato"
spam,Immediate action required: Free Bursary waiting. Text YES to +27765432100.
promotional,Don't miss out! Shoprite has a back-to-school deal at Sandton until today.
promotional,Exclusive offer from Capitec: limited-time available now in Pretoria!
ham,Important: UP class cancellations on next Friday. Check emails.
social,Howzit? Meeting at Menlyn this on Heritage Day? Let me know. Zinhle
spam,Congrats! You've won a SARS Refund. Contact +27631234567 to claim your prize.
ham,Campus update from UKZN: assignment changes for this weekend. Stay informed.
spam,Exclusive Free Bursary offer for you. Act fast! Call +27765432100 now.
promotional,Save big at Shoprite Cape Town. special ends next Friday.
ham,Important: UKZN class cancellations on end of month. Check emails.
spam,Don't miss out on NSFAS Grant. Call +27765432100 to secure funds today.
social,Miss you! Let's link up after work near Nandos. Zinhle
promotional,Save big at Checkers Cape Town. 50% off ends next Friday.
social,Howzit? Meeting at UJ Library this after work? Let me know. Zinhle
spam,Immediate action required: Free Bursary waiting. Text YES to +27791234567.
social,"Got plans for during lunch? Join us at Gold Reef. Cheers, Tasha"
social,Hey! Let's catch up this Saturday at Menlyn. Been too long! Themba
promotional,Don't miss out! Pick n Pay has a weekend deal at Cape Town until this weekend.
promotional,Exclusive offer from Woolworths: back-to-school available now in Sandton!
spam,Don't miss out on NSFAS Grant. Call +27600012345 to secure funds today.
social,Howzit? Meeting at your place this on Heritage Day? Let me know. Zinhle
spam,Don't miss out on SARS Refund. Call +27631234567 to secure funds today.
ham,Don't forget your tutorial at Stellenbosch on end of month. All the best!
promotional,Shop now at Shoprite Durban for back-to-school till today!
spam,Don't miss out on SARS Refund. Call +27791234567 to secure funds today.
social,Hey! Let's catch up on Heritage Day at Gold Reef. Been too long! Zinhle
promotional,Exclusive offer from Shoprite: back-to-school available now in Polokwane!
ham,Stellenbosch reminder: Your tutorial is scheduled for 31 May. Check your student portal.
spam,Exclusive NSFAS Grant offer for you. Act fast! Call +27600012345 now.
social,Miss you! Let's link up during lunch near UJ Library. Sipho
social,Miss you! Let's link up this Saturday near Nandos. Themba
ham,Campus update from UJ: fee deadline changes for tomorrow. Stay informed.
ham,Campus update from UP: res meeting changes for next Friday. Stay informed.
spam,Congrats! You've won a NSFAS Grant. Contact +27831234567 to claim your prize.
spam,Ace your UNISA modules! Assignments and past paper answers available. Msg +27831234567 for pricing.
spam,Exam stress? Get the answers in advance! Affordable & reliable. DM me on WhatsApp +27600012345.
promotional,This weekend only: back-to-school at Woolworths stores near Cape Town.
ham,Campus update from Rhodes: exam changes for today. Stay informed.
ham,Campus update from Rhodes: tutorial changes for 31 May. Stay informed.
social,Miss you! Let's link up during lunch near Nandos. Zinhle
promotional,This weekend only: special at Vodacom stores near Polokwane.
ham,Don't forget your class at UNISA on end of month. All the best!
social,Howzit? Meeting at Menlyn this this Saturday? Let me know. Lerato
promotional,Don't miss out! MTN has a limited-time deal at Soweto until today.
promotional,Don't miss out! Capitec has a BOGO deal at Sandton until 31 May.
promotional,This weekend only: limited-time at Checkers stores near Soweto.
social,"Yo Themba, you coming to UJ Library this after work?"
social,"Got plans for on Heritage Day? Join us at Menlyn. Cheers, Tasha"
social,Howzit? Meeting at Gold Reef this this Saturday? Let me know. Tasha
promotional,Save big at Capitec Soweto. back-to-school ends 31 May.
spam,URGENT: Claim your NSFAS Grant now! Reply YES or call +27631234567. RICA rules apply.
spam,Exclusive SARS Refund offer for you. Act fast! Call +27600012345 now.
spam,URGENT: Claim your NSFAS Grant now! Reply YES or call +27631234567. RICA rules apply.
ham,Don't forget your exam at NWU on this weekend. All the best!
social,"Got plans for this weekend? Join us at UJ Library. Cheers, Tasha"
ham,Campus update from UCT: assignment changes for tomorrow. Stay informed.
spam,Exam stress? Get the answers in advance! Affordable & reliable. DM me on WhatsApp +27765432100.
ham,Important: UJ class cancellations on today. Check emails.
ham,Don't forget your exam at Stellenbosch on next Friday. All the best!
promotional,Don't miss out! Checkers has a back-to-school deal at Polokwane until 31 May.
spam,Exclusive SARS Refund offer for you. Act fast! Call +27831234567 now.
social,Howzit? Meeting at UJ Library this this weekend? Let me know. Sipho
promotional,Don't miss out! MTN has a limited-time deal at Pretoria until 31 May.
social,Howzit? Meeting at Gautrain this during lunch? Let me know. Tasha
ham,Important: NWU class cancellations on tomorrow. Check emails.
promotional,Save big at MTN Pretoria. BOGO ends today.
promotional,Save big at Shoprite Polokwane. BOGO ends 31 May.
social,"Yo Sipho, you coming to Nandos this this weekend?"
promotional,Exclusive offer from Woolworths: special available now in Sandton!
ham,Important: Stellenbosch class cancellations on tomorrow. Check emails.
spam,Congrats! You've won a NSFAS Grant. Contact +27631234567 to claim your prize.
promotional,Exclusive offer from Checkers: 50% off available now in Sandton!
social,Hey! Let's catch up on Heritage Day at Gold Reef. Been too long! Themba
social,"Got plans for this weekend? Join us at your place. Cheers, Sipho"
social,Howzit? Meeting at Gautrain this this weekend? Let me know. Lerato
spam,Ace your UNISA modules! Assignments and past paper answers available. Msg +27600012345 for pricing.
spam,Exclusive NSFAS Grant offer for you. Act fast! Call +27791234567 now.
social,Miss you! Let's link up on Heritage Day near Gold Reef. Sipho
promotional,Don't miss out! MTN has a special deal at Cape Town until this weekend.
spam,Need help with assignments? I’ll send you solutions for a small fee. WhatsApp me at +27765432100.
social,"Got plans for this weekend? Join us at UJ Library. Cheers, Sipho"
promotional,This weekend only: back-to-school at Capitec stores near Soweto.
social,"Yo Sipho, you coming to Nandos this on Heritage Day?"
ham,Campus update from UCT: res meeting changes for next Friday. Stay informed.
ham,Don't forget your fee deadline at UJ on this weekend. All the best!
promotional,Shop now at Capitec Cape Town for limited-time till this weekend!
ham,UJ reminder: Your assignment is scheduled for end of month. Check your student portal.
spam,Don't miss out on SARS Refund. Call +27600012345 to secure funds today.
spam,Immediate action required: Free Bursary waiting. Text YES to +27765432100.
ham,UJ reminder: Your fee deadline is scheduled for 31 May. Check your student portal.
ham,Important: Stellenbosch class cancellations on 31 May. Check emails.
promotional,This weekend only: weekend at Checkers stores near Durban.
spam,Exclusive Free Bursary offer for you. Act fast! Call +27831234567 now.
ham,Don't forget your tutorial at UNISA on 31 May. All the best!
promotional,Shop now at Shoprite Sandton for BOGO till today!
promotional,Exclusive offer from Woolworths: special available now in Polokwane!
social,"Yo Sipho, you coming to UJ Library this after work?"
promotional,Exclusive offer from Vodacom: BOGO available now in Pretoria!
social,Howzit? Meeting at your place this after work? Let me know. Themba
ham,UKZN: Fee payment deadline is next Friday. Please pay promptly.
social,"Got plans for on Heritage Day? Join us at UJ Library. Cheers, Themba"
spam,Don't miss out on SARS Refund. Call +27831234567 to secure funds today.
promotional,Don't miss out! Pick n Pay has a BOGO deal at Durban until end of month.
ham,Campus update from UJ: fee deadline changes for this weekend. Stay informed.
social,Howzit? Meeting at Gautrain this after work? Let me know. Sipho
ham,Important: UNISA class cancellations on 31 May. Check emails.
